                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8195,                 44.405,                 3.6449,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    0.1,               0.032639,               0.032639
                      2,                 3.7469,                 11.203,                  3.353,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.09974,               0.065712,               0.065712
                      3,                 3.7403,                 11.014,                 3.3099,                0.00887,                0.23728,                 0.0145,                0.00358,                 3.3693,                 14.151,                 3.7701,                0.09844,               0.097746,               0.097746
                      4,                 3.6727,                 11.042,                 3.3941,                0.01146,                0.30647,                 0.0147,                0.00409,                 3.5031,                 11.779,                 3.3617,               0.096489,               0.096489,               0.096489
                      5,                 3.6904,                 10.758,                 3.3592,                0.01146,                0.30647,                 0.0147,                0.00409,                    nan,                    nan,                    nan,               0.093815,               0.093815,               0.093815
                      6,                 3.6751,                 10.731,                 3.2764,                0.01146,                0.30647,                 0.0147,                0.00409,                    nan,                    nan,                    nan,               0.090451,               0.090451,               0.090451
                      7,                 3.5351,                 10.071,                 3.3369,                0.01146,                0.30647,                 0.0147,                0.00409,                    nan,                    nan,                    nan,               0.086449,               0.086449,               0.086449
                      8,                 3.3141,                 9.3725,                 2.8983,                0.37294,                0.04477,                0.02717,                0.00613,                    nan,                    nan,                    nan,               0.081871,               0.081871,               0.081871
                      9,                 3.1826,                 8.6656,                 2.7262,                0.40855,                0.07041,                0.06917,                0.02451,                 3.5997,                 10.401,                 2.7205,               0.076792,               0.076792,               0.076792
                     10,                 3.0223,                 8.2717,                 2.6823,                0.71932,                0.20147,                0.09851,                0.03792,                    nan,                    nan,                    nan,               0.071289,               0.071289,               0.071289
                     11,                 2.8794,                 7.8725,                 2.6837,                0.59231,                0.31537,                0.29579,                0.10276,                 3.0188,                 10.203,                 3.3121,               0.065451,               0.065451,               0.065451
                     12,                  2.681,                  6.978,                 2.4981,                0.80077,                0.18056,                0.31618,                0.12951,                 2.8785,                 11.958,                 3.1569,               0.059369,               0.059369,               0.059369
                     13,                 2.5615,                 6.4774,                 2.3867,                0.21406,                0.65016,                0.46133,                0.15364,                 3.3375,                  11.05,                 3.6355,                0.05314,                0.05314,                0.05314
                     14,                  2.494,                 6.1367,                 2.2843,                0.60461,                0.61052,                0.60954,                0.22096,                 2.9454,                 7.2045,                 2.6915,               0.046861,               0.046861,               0.046861
                     15,                  2.402,                  5.858,                 2.2639,                0.12801,                0.43456,                0.09106,                 0.0268,                 3.0063,                  13.52,                  2.988,               0.040632,               0.040632,               0.040632
                     16,                 2.2089,                  5.374,                 2.1404,                 0.0134,                0.10672,                0.02065,                0.00901,                    nan,                    nan,                    nan,                0.03455,                0.03455,                0.03455
                     17,                  2.141,                 5.4478,                 2.1762,                 0.0291,                0.02849,                  0.011,                0.00465,                    nan,                    nan,                    nan,               0.028712,               0.028712,               0.028712
                     18,                  2.143,                 5.1254,                 2.0965,                0.53396,                0.58905,                0.59351,                0.26872,                    nan,                    nan,                    nan,               0.023209,               0.023209,               0.023209
                     19,                 2.0792,                 4.9262,                 2.0351,                0.70705,                0.69726,                0.75286,                0.35658,                 2.1674,                 5.9232,                 2.0521,                0.01813,                0.01813,                0.01813
                     20,                 1.9984,                 4.6238,                 1.9817,                0.58259,                0.80843,                0.77938,                0.36782,                 2.3073,                 5.9251,                 2.1866,               0.013552,               0.013552,               0.013552
                     21,                 1.9943,                 4.5853,                 1.9838,                0.67097,                0.83623,                0.85159,                0.43852,                 2.2684,                 5.5541,                 2.0415,              0.0095501,              0.0095501,              0.0095501
                     22,                 1.9382,                 4.3978,                 1.9509,                0.49401,                0.87367,                0.85398,                0.39234,                 2.3086,                 5.2712,                 2.0801,              0.0061856,              0.0061856,              0.0061856
                     23,                 1.9096,                 4.3042,                 1.9284,                0.58972,                0.87936,                0.86513,                0.44238,                 2.1956,                 5.2045,                 2.0143,              0.0035121,              0.0035121,              0.0035121
                     24,                 1.8745,                 4.2307,                 1.8975,                0.61609,                0.88366,                0.86615,                0.45594,                 2.1247,                 5.0784,                 1.9928,              0.0015718,              0.0015718,              0.0015718
                     25,                  1.864,                 4.2232,                 1.9005,                0.65014,                0.89268,                0.86936,                0.45491,                  2.181,                 5.0896,                 2.0134,             0.00039526,             0.00039526,             0.00039526
